SPOT,AGE,SEX,Total accommodation fee,Total transportation cost,Number_of_people,Accommodation
201,2,1,94,2,5,1
0,2,0,67,2,2,1
0,4,0,79,2,2,1
12,3,0,0,1,1,0
32,3,0,0,1,2,0
155,5,1,0,1,1,0
208,2,1,82,1,2,1
36,2,0,0,1,5,1
198,1,1,0,1,1,1
155,4,1,79,1,2,1
36,4,1,0,1,1,0
149,1,0,0,1,1,0
36,3,0,0,1,1,0
18,1,1,58,1,3,1
42,3,1,0,1,1,0
164,1,0,41,1,1,1
0,2,0,58,2,1,1
209,5,0,58,2,4,1
46,2,1,0,1,3,0
18,3,1,0,1,2,0
32,1,0,0,1,1,0
11,1,1,0,1,3,0
40,3,0,0,1,2,0
36,2,1,0,1,1,0
37,1,1,0,1,1,0
18,1,0,0,1,1,0
9,3,0,0,1,3,0
36,4,1,0,1,3,0
40,2,1,0,1,2,0
48,2,0,0,1,2,0
163,4,0,0,1,3,0
209,3,0,0,1,3,0
209,4,1,0,1,3,0
22,1,1,0,1,3,0
6,4,1,82,2,3,1
27,5,1,124,1,7,1
0,3,1,150,2,3,1
12,2,1,41,1,1,1
14,2,0,165,2,2,1
0,1,1,124,2,3,1
219,3,1,82,1,2,1
157,5,1,0,1,4,0
18,1,0,0,1,2,0
5,3,0,0,1,2,1
44,1,1,0,1,1,0
46,2,0,0,1,1,0
12,4,0,0,1,2,0
0,1,0,82,2,2,1
0,1,0,67,2,1,1
18,1,1,0,1,1,0
2,3,1,89,2,3,1
212,5,1,0,1,2,0
40,3,0,0,1,3,0
18,1,0,0,1,1,0
84,2,1,0,2,2,1
11,2,0,0,1,1,0
149,3,0,0,1,1,0
6,4,0,58,1,1,1
4,3,0,67,2,2,1
0,2,0,67,1,1,1
84,2,1,107,2,2,1
89,3,1,0,2,2,1
26,2,0,0,1,1,0
37,2,1,0,1,1,0
202,3,0,0,1,1,1
35,1,1,0,1,1,0
12,1,0,21,1,3,1
68,4,1,17,1,3,1
18,3,0,0,1,2,0
202,4,1,41,2,2,1
12,2,1,0,1,1,0
12,2,0,41,1,1,1
18,2,0,0,1,1,0
36,1,1,0,1,3,0
213,2,1,0,1,2,0
19,4,1,0,1,1,0
202,5,0,0,0,5,1
165,3,0,22,1,1,1
68,1,0,21,1,1,1
172,4,0,21,1,5,1
12,1,0,0,1,1,0
42,1,1,0,1,3,0
216,4,1,0,1,3,0
202,4,0,21,2,3,1
0,2,1,0,1,2,0
208,2,0,0,1,1,0
201,1,0,41,2,3,1
219,1,1,0,1,1,0
11,4,1,0,1,3,0
209,3,1,0,1,2,0
14,3,0,21,1,2,1
192,2,0,82,1,1,1
182,2,1,42,1,2,1
98,4,0,30,1,1,1
157,1,0,0,1,1,0
46,1,1,0,1,1,0
201,4,1,0,1,3,1
36,2,0,0,1,1,0
18,3,1,0,1,2,0
201,3,0,0,0,4,1
12,1,1,0,1,1,0
15,1,0,0,1,1,0
36,3,0,0,1,2,0
202,3,1,82,2,2,1
32,1,1,0,1,1,0
208,1,0,17,1,3,1
188,1,0,21,1,3,1
4,4,0,25,1,5,1
46,2,0,0,1,3,0
173,2,1,30,1,2,1
216,1,1,21,1,3,1
0,2,1,0,1,4,0
4,4,0,67,1,1,1
170,2,1,0,1,1,1
29,5,0,0,1,1,0
15,4,1,0,1,1,0
68,3,1,94,2,1,1
201,4,1,102,2,1,1
35,3,0,0,1,0,1
4,2,0,165,2,2,1
89,1,0,0,2,0,1
0,1,0,30,2,1,1
201,3,0,0,0,1,1
183,1,1,0,2,2,1
46,2,1,71,1,1,1
19,1,0,0,1,1,0
53,3,0,178,2,2,1
0,1,1,41,2,1,1
12,1,0,0,1,1,0
201,6,1,0,0,2,1
163,2,0,82,1,1,1
83,5,1,0,0,2,1
188,1,1,0,2,1,1
18,1,1,0,1,1,0
18,5,0,0,1,1,0
1,3,0,0,1,1,0
40,2,1,0,1,1,0
177,5,1,0,1,0,1
14,3,0,0,1,2,1
0,2,0,0,1,1,1
201,4,0,0,0,1,1
12,3,1,0,1,2,0
36,4,0,0,1,2,0
164,2,0,0,1,1,0
12,6,0,0,1,1,0
18,4,1,0,1,2,0
8,5,1,0,1,1,0
36,3,0,0,1,2,0
193,6,0,106,2,3,1
2,1,0,106,2,2,1
4,2,1,0,1,2,1
202,3,1,0,0,2,1
163,1,0,150,1,1,1
17,3,0,0,1,3,1
188,3,1,148,2,1,1
4,4,1,0,1,1,0
149,6,0,0,2,5,0
199,2,1,0,1,1,0
18,3,0,0,1,0,0
202,1,1,0,0,3,1
201,1,1,171,3,3,1
22,2,0,0,1,1,0
4,3,0,67,2,2,1
4,4,1,0,1,2,0
36,1,1,43,1,2,1
155,2,0,0,1,1,1
106,6,0,0,1,2,1
36,6,1,0,1,1,0
201,1,0,124,3,1,1
29,4,1,0,1,2,0
202,2,1,71,3,3,1
