ID,D_TRA1_COST,D_TRA1_ONE_COST
11010550211_277566,,
11010550211_277569,800000,160000
11010550211_277571,,
11010550211_277572,1000000,1000000
11010550211_277588,399999,133333
11010550211_277590,,
11010550211_277594,600003,200001
11010550211_277596,100000,50000
11010550211_277599,,
11010550211_277605,2020000,505000
11010561111_302500,,
11010561111_302503,,
11010561111_302507,15000,15000
11010561111_302508,,
11010561111_302514,,
11010561111_302523,,
11010561111_302528,100000,25000
11010561111_302539,80001,26667
11010561111_302545,100000,50000
11010561111_302562,,
1101058020A_277617,,
1101058020A_277618,,
1101058020A_277622,400002,133334
1101058020A_277624,,
1101058020A_277626,,
1101058020A_277627,200004,33334
1101058020A_277630,200000,50000
1101058020A_277633,,
1101058020A_277639,200000,100000
1101058020A_277641,320004,106668
11010630151_328430,20000,20000
11010630151_328431,,
11010630151_328433,,
11010630151_328434,25000,25000
11010630151_328438,70000,70000
11010630151_328440,50000,50000
11010630151_328443,,
11010630151_328451,,
11010630151_328458,30000,30000
11010630151_328484,50000,50000
11010680031_353958,100000,50000
11010680031_353962,210000,52500
11010680031_353964,,
11010680031_353966,90000,45000
11010680031_353971,200000,100000
11010680031_353975,400000,200000
11010680031_353978,400000,80000
11010680031_353989,100000,50000
11010680031_353990,100000,25000
11010680031_354012,,
11010710341_378812,,
11010710341_378814,149997,49999
11010710341_378817,,
11010710341_378819,110000,55000
11010710341_378820,160000,40000
11010710341_378823,200000,50000
11010710341_378829,,
11010710341_378842,200001,66667
11010710341_378857,152000,76000
11010710341_378871,,
11010730221_404320,,
11010730221_404323,,
11010730221_404327,257001,85667
11010730221_404331,76000,38000
11010730221_404332,,
11010730221_404334,145000,72500
11010730221_404338,,
11010730221_404342,200000,50000
11010730221_404346,200000,50000
11010730221_404371,200001,66667
11010731701_429411,150003,50001
11010731701_429412,200000,50000
11010731701_429415,150000,50000
11010731701_429419,,
11010731701_429422,200000,50000
11010731701_429425,197000,49250
11010731701_429429,,
11010731701_429430,147000,36750
11010731701_429443,205000,51250
11010731701_429468,210000,52500
1102052010A_302567,500000,500000
1102052010A_302568,,
1102052010A_302569,,
1102052010A_302572,,
1102052010A_302574,,
1102052010A_302580,,
1102052010A_302586,300000,150000
1102052010A_302603,,
1102052010A_302609,,
1102052010A_302615,,
11020580391_454784,1225000,306250
11020580391_454785,,
11020580391_454786,,
11020580391_454788,2040000,680000
11020580391_454791,1180000,147500
11020580391_454792,,
11020580391_454794,1190000,297500
11020580391_454797,482500,241250
11020580391_454804,,
11020580391_454806,1260003,420001
11020670541_480100,,
11020670541_480103,1195000,298750
11020670541_480109,628002,209334
11020670541_480110,,
11020670541_480115,,
11020670541_480121,440000,88000
11020670541_480126,471999,157333
11020670541_480138,945003,315001
11020670541_480144,,
11020670541_480150,,
1102068071A_328497,,
1102068071A_328498,,
1102068071A_328501,,
1102068071A_328503,30000,30000
1102068071A_328505,,
1102068071A_328509,,
1102068071A_328518,,
1102068071A_328520,150000,37500
1102068071A_328525,,
1102068071A_328532,160000,80000
11020690861_505004,509997,169999
11020690861_505016,252999,84333
11020690861_505020,680000,340000
