ID,SA1_1,BINC1,DQ7
11010550211_277566,0,  500~600만원미만,보유하고 있음
11010550211_277569,1,  500~600만원미만,보유하고 있음
11010550211_277571,0,  200~300만원미만,보유하고 있음
11010550211_277572,1,  600만원 이상,보유하고 있음
11010550211_277588,1,  600만원 이상,보유하고 있음
11010550211_277590,0,  600만원 이상,보유하고 있음
11010550211_277594,1,  500~600만원미만,보유하고 있음
11010550211_277596,1,  300~400만원미만,보유하고 있음
11010550211_277599,0,  600만원 이상,보유하고 있음
11010550211_277605,1,  500~600만원미만,보유하고 있음
11010561111_302500,0,  200~300만원미만,보유하고 있음
11010561111_302503,0,  600만원 이상,보유하고 있음
11010561111_302507,1,  600만원 이상,보유하고 있음
11010561111_302508,0,  600만원 이상,보유하고 있음
11010561111_302514,0,  400~500만원미만,보유하고 있음
11010561111_302523,0,  600만원 이상,보유하고 있음
11010561111_302528,0,  600만원 이상,보유하고 있음
11010561111_302539,1,  400~500만원미만,보유하고 있음
11010561111_302545,1,  200~300만원미만,보유하고 있음
11010561111_302562,0,  200~300만원미만,보유하지 않음
1101058020A_277617,0,  400~500만원미만,보유하고 있음
1101058020A_277618,0,  200~300만원미만,보유하고 있음
1101058020A_277622,1,  400~500만원미만,보유하고 있음
1101058020A_277624,0,  300~400만원미만,보유하고 있음
1101058020A_277626,0,  300~400만원미만,보유하고 있음
1101058020A_277627,0,  500~600만원미만,보유하고 있음
1101058020A_277630,0,  600만원 이상,보유하고 있음
1101058020A_277633,0,  600만원 이상,보유하고 있음
1101058020A_277639,0,  600만원 이상,보유하고 있음
1101058020A_277641,1,  400~500만원미만,보유하고 있음
11010630151_328430,1,  300~400만원미만,보유하고 있음
11010630151_328431,0,  400~500만원미만,보유하지 않음
11010630151_328433,0,  300~400만원미만,보유하고 있음
11010630151_328434,0,  500~600만원미만,보유하고 있음
11010630151_328438,1,  600만원 이상,보유하고 있음
11010630151_328440,0,  100~200만원미만,보유하지 않음
11010630151_328443,0,  600만원 이상,보유하고 있음
11010630151_328451,0,  600만원 이상,보유하고 있음
11010630151_328458,1,  400~500만원미만,보유하고 있음
11010630151_328484,0,  600만원 이상,보유하고 있음
11010680031_353958,1,  300~400만원미만,보유하고 있음
11010680031_353962,2,  400~500만원미만,보유하지 않음
11010680031_353964,0,  100만원미만,보유하지 않음
11010680031_353966,2,  500~600만원미만,보유하고 있음
11010680031_353971,1,  400~500만원미만,보유하고 있음
11010680031_353975,1,  300~400만원미만,보유하지 않음
11010680031_353978,1,  400~500만원미만,보유하고 있음
11010680031_353989,0,  200~300만원미만,보유하지 않음
11010680031_353990,1,  400~500만원미만,보유하고 있음
11010680031_354012,0,  100~200만원미만,보유하지 않음
