D_TRA1_COST,D_TRA1_S_Day,D_TRA1_ONE_COST
,,
800000.0,2.0,160000.0
,,
1000000.0,5.0,1000000.0
399999.0,1.0,133333.0
,,
600003.0,2.0,200001.0
100000.0,0.0,50000.0
,,
2020000.0,2.0,505000.0
,,
,,
15000.0,0.0,15000.0
,,
,,
,,
100000.0,1.0,25000.0
80001.0,0.0,26667.0
100000.0,0.0,50000.0
,,
,,
,,
400002.0,1.0,133334.0
,,
,,
200004.0,2.0,33334.0
200000.0,1.0,50000.0
,,
200000.0,2.0,100000.0
320004.0,1.0,106668.0
20000.0,0.0,20000.0
,,
,,
25000.0,0.0,25000.0
70000.0,0.0,70000.0
50000.0,1.0,50000.0
,,
,,
30000.0,0.0,30000.0
50000.0,0.0,50000.0
100000.0,0.0,50000.0
210000.0,1.0,52500.0
,,
90000.0,0.0,45000.0
200000.0,1.0,100000.0
400000.0,1.0,200000.0
400000.0,1.0,80000.0
100000.0,1.0,50000.0
100000.0,0.0,25000.0
,,
,,
149997.0,0.0,49999.0
,,
110000.0,0.0,55000.0
160000.0,0.0,40000.0
200000.0,0.0,50000.0
,,
200001.0,0.0,66667.0
152000.0,0.0,76000.0
,,
,,
,,
257001.0,1.0,85667.0
76000.0,0.0,38000.0
,,
145000.0,0.0,72500.0
,,
200000.0,0.0,50000.0
200000.0,0.0,50000.0
200001.0,0.0,66667.0
150003.0,0.0,50001.0
200000.0,0.0,50000.0
150000.0,0.0,50000.0
,,
200000.0,0.0,50000.0
197000.0,0.0,49250.0
,,
147000.0,0.0,36750.0
205000.0,0.0,51250.0
210000.0,0.0,52500.0
500000.0,2.0,500000.0
,,
,,
,,
,,
,,
300000.0,1.0,150000.0
,,
,,
,,
1225000.0,1.0,306250.0
,,
,,
2040000.0,3.0,680000.0
1180000.0,1.0,147500.0
,,
1190000.0,2.0,297500.0
482500.0,1.0,241250.0
,,
1260003.0,2.0,420001.0
,,
1195000.0,1.0,298750.0
628002.0,1.0,209334.0
,,
,,
440000.0,0.0,88000.0
471999.0,0.0,157333.0
945003.0,2.0,315001.0
,,
,,
,,
,,
,,
30000.0,0.0,30000.0
,,
,,
,,
150000.0,0.0,37500.0
,,
160000.0,0.0,80000.0
509997.0,1.0,169999.0
252999.0,0.0,84333.0
680000.0,1.0,340000.0
,,
194499.0,0.0,64833.0
,,
80000.0,0.0,40000.0
,,
37000.0,0.0,37000.0
,,
492000.0,1.0,246000.0
189500.0,0.0,94750.0
688000.0,1.0,172000.0
197001.0,0.0,65667.0
123501.0,0.0,41167.0
,,
,,
,,
186000.0,0.0,46500.0
,,
100000.0,0.0,100000.0
100001.0,1.0,100001.0
,,
,,
30000.0,0.0,30000.0
,,
50000.0,0.0,50000.0
50000.0,0.0,50000.0
30000.0,0.0,30000.0
,,
,,
,,
,,
638000.0,1.0,319000.0
,,
800001.0,1.0,266667.0
,,
780000.0,1.0,390000.0
1080006.0,2.0,360002.0
,,
,,
520002.0,2.0,173334.0
209000.0,0.0,104500.0
,,
300000.0,0.0,150000.0
1340000.0,2.0,670000.0
,,
,,
95000.0,0.0,95000.0
,,
225000.0,1.0,225000.0
,,
,,
270000.0,1.0,270000.0
312000.0,0.0,104000.0
,,
516667.0,2.0,516667.0
100000.0,0.0,100000.0
,,
,,
95000.0,0.0,95000.0
330000.0,1.0,165000.0
,,
104000.0,0.0,104000.0
103000.0,0.0,103000.0
,,
285000.0,0.0,95000.0
,,
56000.0,0.0,56000.0
113000.0,0.0,113000.0
230500.0,1.0,230500.0
500000.0,1.0,500000.0
265000.0,1.0,265000.0
,,
282000.0,1.0,282000.0
,,
260000.0,1.0,260000.0
,,
,,
195000.0,1.0,195000.0
85000.0,0.0,85000.0
118000.0,0.0,118000.0
,,
154000.0,0.0,154000.0
,,
566000.0,1.0,566000.0
,,
,,
85000.0,0.0,85000.0
,,
250000.0,1.0,250000.0
125000.0,0.0,125000.0
,,
135500.0,0.0,135500.0
,,
300000.0,1.0,300000.0
,,
572500.0,2.0,572500.0
129000.0,0.0,129000.0
,,
100000.0,0.0,100000.0
,,
126000.0,0.0,126000.0
245000.0,1.0,245000.0
,,
,,
446000.0,1.0,223000.0
,,
,,
382002.0,1.0,127334.0
426800.0,1.0,213400.0
144000.0,0.0,72000.0
160000.0,0.0,80000.0
545000.0,2.0,545000.0
,,
,,
,,
,,
113250.0,0.0,113250.0
99667.0,0.0,99667.0
574000.0,2.0,574000.0
85000.0,0.0,85000.0
242500.0,1.0,242500.0
105500.0,0.0,105500.0
,,
93000.0,0.0,93000.0
,,
578667.0,2.0,578667.0
50000.0,0.0,50000.0
,,
75500.0,0.0,75500.0
55000.0,0.0,55000.0
257000.0,1.0,257000.0
,,
,,
250500.0,1.0,250500.0
,,
300000.0,1.0,300000.0
,,
,,
115000.0,0.0,115000.0
215667.0,1.0,215667.0
212000.0,1.0,212000.0
,,
400000.0,0.0,80000.0
,,
,,
,,
300000.0,1.0,150000.0
,,
,,
,,
,,
,,
1200000.0,2.0,400000.0
415000.0,1.0,207500.0
60000.0,0.0,60000.0
376500.0,2.0,188250.0
105000.0,0.0,52500.0
,,
,,
,,
460000.0,1.0,115000.0
,,
,,
,,
100000.0,0.0,50000.0
,,
100000.0,0.0,50000.0
,,
,,
,,
,,
,,
,,
,,
615000.0,2.0,307500.0
300000.0,1.0,100000.0
1042400.0,2.0,521200.0
,,
430000.0,1.0,215000.0
170000.0,1.0,170000.0
844998.0,1.0,281666.0
515000.0,1.0,515000.0
,,
,,
80000.0,0.0,80000.0
425000.0,1.0,212500.0
100000.0,0.0,100000.0
99999.0,0.0,33333.0
314000.0,1.0,157000.0
200000.0,0.0,200000.0
150000.0,0.0,150000.0
150000.0,0.0,75000.0
940000.0,3.0,470000.0
1226001.0,2.0,408667.0
,,
452000.0,1.0,226000.0
913000.0,2.0,456500.0
113300.0,0.0,113300.0
,,
996000.0,1.0,332000.0
,,
,,
350000.0,1.0,350000.0
150000.0,0.0,75000.0
407000.0,1.0,203500.0
450000.0,1.0,112500.0
83000.0,0.0,41500.0
226000.0,0.0,226000.0
126000.0,0.0,63000.0
429000.0,1.0,214500.0
150000.0,0.0,150000.0
480000.0,2.0,480000.0
100000.0,0.0,50000.0
200000.0,0.0,200000.0
,,
,,
498000.0,1.0,249000.0
545000.0,2.0,545000.0
504000.0,1.0,252000.0
,,
,,
,,
110000.0,0.0,110000.0
,,
,,
130000.0,0.0,65000.0
,,
,,
,,
200000.0,0.0,100000.0
200000.0,0.0,100000.0
,,
,,
,,
,,
242000.0,0.0,121000.0
,,
400000.0,2.0,400000.0
709998.0,2.0,236666.0
300000.0,1.0,150000.0
1200000.0,3.0,600000.0
,,
,,
,,
215001.0,0.0,71667.0
150000.0,0.0,50000.0
,,
150000.0,0.0,75000.0
,,
,,
,,
1830000.0,2.0,457500.0
107000.0,0.0,53500.0
150000.0,0.0,75000.0
,,
,,
,,
150000.0,0.0,50000.0
,,
,,
150000.0,0.0,75000.0
,,
99999.0,0.0,33333.0
,,
600000.0,1.0,150000.0
,,
,,
,,
,,
,,
,,
,,
650000.0,1.0,650000.0
,,
644997.0,1.0,214999.0
,,
500000.0,2.0,500000.0
,,
749000.0,2.0,374500.0
895000.0,2.0,223750.0
387000.0,2.0,129000.0
,,
,,
908000.0,2.0,454000.0
,,
,,
,,
,,
150000.0,0.0,75000.0
200000.0,0.0,100000.0
,,
,,
,,
,,
,,
160000.0,0.0,40000.0
77000.0,0.0,77000.0
490998.0,0.0,81833.0
,,
,,
205000.0,0.0,102500.0
156999.0,0.0,52333.0
,,
200000.0,0.0,200000.0
,,
525000.0,1.0,525000.0
1485000.0,2.0,371250.0
,,
246999.0,1.0,82333.0
118000.0,0.0,29500.0
,,
,,
,,
,,
73000.0,0.0,36500.0
489999.0,1.0,163333.0
,,
154998.0,0.0,51666.0
351000.0,1.0,117000.0
261000.0,1.0,130500.0
,,
,,
,,
200000.0,3.0,200000.0
224997.0,1.0,74999.0
,,
,,
,,
78600.0,0.0,39300.0
1242000.0,2.0,621000.0
,,
,,
,,
,,
99999.0,0.0,33333.0
,,
1770000.0,1.0,442500.0
460000.0,1.0,115000.0
,,
,,
130000.0,0.0,65000.0
214000.0,0.0,53500.0
,,
,,
,,
,,
366000.0,1.0,183000.0
,,
212001.0,1.0,70667.0
,,
,,
,,
,,
,,
,,
1500000.0,2.0,375000.0
,,
,,
350001.0,1.0,116667.0
995004.0,1.0,331668.0
600000.0,2.0,300000.0
,,
,,
84498.0,0.0,28166.0
120000.0,0.0,40000.0
,,
,,
,,
164001.0,0.0,54667.0
,,
,,
,,
350000.0,1.0,175000.0
,,
69999.0,0.0,23333.0
65000.0,0.0,65000.0
,,
,,
99999.0,0.0,33333.0
230000.0,1.0,115000.0
,,
,,
100002.0,0.0,33334.0
252000.0,0.0,84000.0
395000.0,0.0,98750.0
90000.0,0.0,30000.0
,,
1350000.0,2.0,450000.0
360000.0,0.0,180000.0
,,
,,
180000.0,1.0,90000.0
,,
300000.0,0.0,75000.0
79000.0,0.0,39500.0
403002.0,1.0,134334.0
,,
,,
,,
122001.0,0.0,40667.0
62000.0,0.0,31000.0
,,
80000.0,0.0,40000.0
,,
,,
1010000.0,2.0,1010000.0
,,
,,
,,
,,
,,
227001.0,0.0,75667.0
,,
500997.0,0.0,71571.0
,,
500000.0,1.0,500000.0
1272000.0,1.0,424000.0
,,
995000.0,2.0,248750.0
456000.0,1.0,456000.0
,,
,,
80000.0,0.0,40000.0
2005000.0,2.0,401000.0
1000005.0,1.0,333335.0
120000.0,0.0,40000.0
,,
,,
700002.0,1.0,233334.0
,,
,,
80000.0,0.0,40000.0
123600.0,0.0,30900.0
,,
,,
,,
,,
150000.0,1.0,75000.0
1015000.0,1.0,253750.0
275000.0,1.0,137500.0
53000.0,0.0,53000.0
,,
,,
66000.0,0.0,33000.0
1310001.0,2.0,436667.0
72000.0,0.0,24000.0
358002.0,1.0,119334.0
,,
,,
487998.0,1.0,162666.0
120000.0,0.0,60000.0
,,
,,
,,
,,
,,
150000.0,0.0,37500.0
,,
600003.0,1.0,200001.0
200000.0,0.0,100000.0
,,
,,
,,
,,
890001.0,1.0,127143.0
125000.0,0.0,62500.0
,,
,,
200000.0,0.0,40000.0
670000.0,1.0,335000.0
,,
,,
,,
102000.0,0.0,34000.0
,,
500000.0,0.0,100000.0
,,
200000.0,0.0,100000.0
,,
320000.0,1.0,160000.0
600000.0,1.0,300000.0
299997.0,1.0,99999.0
,,
,,
400000.0,1.0,200000.0
100000.0,0.0,50000.0
150000.0,0.0,50000.0
150000.0,0.0,150000.0
,,
150000.0,0.0,50000.0
,,
,,
950000.0,2.0,475000.0
,,
146000.0,2.0,146000.0
190000.0,0.0,95000.0
950000.0,3.0,475000.0
,,
,,
,,
110001.0,1.0,36667.0
,,
873000.0,2.0,291000.0
,,
,,
519000.0,2.0,259500.0
138000.0,0.0,138000.0
120000.0,0.0,60000.0
950000.0,2.0,475000.0
,,
,,
210000.0,1.0,52500.0
200001.0,0.0,66667.0
,,
,,
,,
100002.0,0.0,33334.0
,,
,,
,,
660003.0,1.0,220001.0
,,
,,
700000.0,2.0,700000.0
400000.0,1.0,200000.0
,,
,,
764000.0,1.0,382000.0
,,
,,
1000000.0,2.0,500000.0
,,
,,
,,
200000.0,0.0,100000.0
150000.0,0.0,75000.0
83000.0,0.0,20750.0
,,
100000.0,0.0,100000.0
,,
750000.0,2.0,187500.0
,,
100000.0,0.0,100000.0
72000.0,0.0,72000.0
,,
187000.0,1.0,187000.0
,,
,,
,,
200001.0,0.0,66667.0
200000.0,0.0,100000.0
150000.0,0.0,75000.0
,,
,,
,,
,,
,,
,,
150000.0,0.0,75000.0
,,
,,
,,
,,
,,
,,
200000.0,0.0,50000.0
,,
1530003.0,2.0,510001.0
,,
,,
,,
,,
30000.0,0.0,30000.0
30000.0,0.0,30000.0
50000.0,0.0,50000.0
30000.0,0.0,30000.0
,,
,,
,,
100000.0,0.0,100000.0
,,
,,
,,
,,
,,
200000.0,1.0,50000.0
,,
,,
,,
,,
,,
567999.0,1.0,189333.0
,,
810999.0,2.0,270333.0
,,
,,
1816000.0,2.0,908000.0
100000.0,1.0,100000.0
,,
700000.0,2.0,700000.0
100000.0,0.0,50000.0
349998.0,1.0,116666.0
,,
,,
,,
,,
,,
,,
350000.0,1.0,175000.0
299997.0,1.0,99999.0
1281000.0,2.0,320250.0
564500.0,2.0,282250.0
,,
,,
,,
788000.0,2.0,394000.0
,,
50000.0,0.0,50000.0
1100000.0,2.0,550000.0
700002.0,1.0,233334.0
,,
,,
,,
499998.0,1.0,166666.0
,,
,,
1515000.0,2.0,505000.0
,,
800000.0,1.0,400000.0
,,
600000.0,2.0,300000.0
,,
,,
,,
200000.0,1.0,100000.0
,,
382000.0,2.0,382000.0
,,
500000.0,2.0,125000.0
30000.0,0.0,30000.0
