A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,D_TRA1_1_SPOT
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),"야외 위락 및 스포츠, 레포츠 활동",,,,,,,,,,,,,,,,,,,강원도 삼척시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,쇼핑,,,,,,,,,,,,,,제주특별자치도 서귀포시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 강릉시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,강원도 춘천시
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,제주특별자치도 제주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,경기도 용인시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,경기도 용인시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,경기도 안산시
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,,,,,인천광역시 강화군
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,충청남도 보령시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,,,,,,,,,,,,,가족/친지/친구 방문,,,,경기도 양평군
,,,,,,,,,,,,,,,,,,,,,경기도 군포시
,,,,,,,,,,,,,,,,,,,,,
,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,가족/친지/친구 방문,,,,전라북도 전주시
자연 및 풍경감상,음식관광(지역 맛집 등),,역사 유적지 방문,,,,,,,,,,,,,,,,,,인천광역시 강화군
자연 및 풍경감상,,,,,,,,,,,,,,,,,,,,,경기도 남양주시
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
자연 및 풍경감상,음식관광(지역 맛집 등),,,,휴식/휴양,,,,,,,,,,,,,,,,강원도 강릉시
