성별,나이,거주지,여행유형,월별,동반자,여행지(시/도),여행지(시/군/구),숙박여부,여행비용
  남자,  40대,  서울,단순관광,  1월,친구/연인,강원도,춘천시,0,10만원 이상 20만원 미만
  여자,  15~19세,  서울,단순가족/친지/친구방문,  2월,친구/연인,경기도,용인시,0,10만원 미만
  여자,  40대,  서울,단순가족/친지/친구방문,  2월,없음,경기도,용인시,1,10만원 이상 20만원 미만
  남자,  40대,  서울,단순관광,  2월,가족,경기도,안산시,0,10만원 미만
  여자,  60대,  서울,단순관광,  2월,가족,인천광역시,강화군,0,10만원 이상 20만원 미만
  여자,  30대,  서울,단순관광,  1월,친구/연인,충청남도,보령시,1,30만원 이상
  남자,  20대,  서울,단순가족/친지/친구방문,  1월,없음,경기도,군포시,1,20만원 이상 30만원 미만
  남자,  70세이상,  서울,단순관광,  3월,친구/연인,경기도,남양주시,0,10만원 미만
  여자,  30대,  서울,가족/친지/친구방문(관광포함),  3월,가족,강원도,강릉시,0,10만원 미만
  여자,  50대,  서울,단순관광,  3월,가족,경기도,양평군,0,10만원 미만
  남자,  60대,  서울,단순관광,  3월,친구/연인,경기도,포천시,0,10만원 미만
  남자,  40대,  서울,단순관광,  4월,가족,경기도,양평군,0,10만원 이상 20만원 미만
  여자,  40대,  서울,단순관광,  4월,가족,경기도,의정부시,0,10만원 미만
  남자,  20대,  서울,단순관광,  4월,친구/연인,인천광역시,중구,1,20만원 이상 30만원 미만
  남자,  30대,  서울,단순관광,  4월,친구/연인,강원도,강릉시,1,30만원 이상
  여자,  60대,  서울,단순가족/친지/친구방문,  4월,없음,세종특별자치시,세종시,1,10만원 이상 20만원 미만
  여자,  30대,  서울,단순관광,  4월,가족,경기도,포천시,0,10만원 이상 20만원 미만
  여자,  40대,  서울,단순관광,  5월,가족,경기도,가평군,0,10만원 이상 20만원 미만
  남자,  20대,  서울,단순관광,  5월,친구/연인,경기도,안산시,0,10만원 이상 20만원 미만
  여자,  20대,  서울,단순관광,  5월,친구/연인,강원도,철원군,0,10만원 이상 20만원 미만
  여자,  50대,  서울,단순관광,  5월,친구/연인,경기도,양평군,0,20만원 이상 30만원 미만
  남자,  40대,  서울,단순관광,  5월,가족,경기도,용인시,0,20만원 이상 30만원 미만
  여자,  30대,  서울,단순관광,  5월,친구/연인,경기도,양평군,0,10만원 이상 20만원 미만
  여자,  40대,  서울,단순관광,  6월,가족,충청남도,부여군,1,20만원 이상 30만원 미만
  여자,  20대,  서울,단순관광,  6월,친구/연인,경기도,여주시,0,10만원 미만
  남자,  20대,  서울,단순관광,  6월,친구/연인,경기도,가평군,0,10만원 이상 20만원 미만
  남자,  40대,  서울,단순관광,  6월,가족,강원도,인제군,0,20만원 이상 30만원 미만
  여자,  50대,  서울,단순관광,  6월,친구/연인,경기도,양평군,0,20만원 이상 30만원 미만
  여자,  30대,  서울,단순관광,  6월,가족,경기도,용인시,0,20만원 이상 30만원 미만
  남자,  30대,  서울,단순관광,  7월,가족,경기도,화성시,0,10만원 이상 20만원 미만
  남자,  50대,  서울,단순관광,  7월,가족,인천광역시,옹진군,0,20만원 이상 30만원 미만
  여자,  30대,  서울,단순관광,  7월,가족,경기도,과천시,0,10만원 이상 20만원 미만
  남자,  40대,  서울,가족/친지/친구방문(관광포함),  7월,가족,충청남도,부여군,0,20만원 이상 30만원 미만
  여자,  40대,  서울,단순관광,  7월,친구/연인,경기도,여주시,0,10만원 이상 20만원 미만
  여자,  50대,  서울,단순관광,  7월,친구/연인,충청남도,부여군,0,10만원 이상 20만원 미만
  여자,  60대,  서울,단순관광,  7월,친구/연인,경기도,안산시,0,20만원 이상 30만원 미만
  여자,  20대,  서울,단순관광,  7월,친구/연인,경기도,광주시,0,20만원 이상 30만원 미만
  여자,  40대,  서울,가족/친지/친구방문(관광포함),  2월,가족,부산광역시,동구,1,30만원 이상
  여자,  50대,  서울,단순관광,  8월,가족,강원도,속초시,1,30만원 이상
  여자,  60대,  서울,단순관광,  8월,가족,경기도,동두천시,1,30만원 이상
  여자,  30대,  서울,가족/친지/친구방문(관광포함),  8월,가족,강원도,춘천시,1,30만원 이상
  여자,  20대,  서울,단순관광,  9월,친구/연인,강원도,강릉시,1,30만원 이상
  여자,  40대,  서울,단순관광,  9월,가족,충청북도,제천시,1,30만원 이상
  여자,  60대,  서울,단순관광,  9월,친구/연인,인천광역시,남동구,0,30만원 이상
  남자,  20대,  서울,단순관광,  9월,친구/연인,경기도,가평군,0,30만원 이상
  여자,  20대,  서울,단순관광,  3월,친구/연인,경기도,파주시,0,10만원 미만
  여자,  70세이상,  서울,단순관광,  3월,가족,인천광역시,옹진군,0,10만원 이상 20만원 미만
  남자,  30대,  서울,단순관광,  3월,친구/연인,경기도,포천시,0,10만원 이상 20만원 미만
  여자,  30대,  서울,단순관광,  10월,가족,강원도,속초시,1,30만원 이상
  남자,  50대,  서울,가족/친지/친구방문(관광포함),  10월,가족,강원도,춘천시,0,20만원 이상 30만원 미만
  남자,  20대,  서울,단순관광,  10월,친구/연인,강원도,강릉시,1,30만원 이상
  여자,  20대,  서울,단순관광,  10월,가족,경기도,용인시,0,10만원 이상 20만원 미만
  여자,  50대,  서울,단순관광,  10월,친구/연인,경기도,양평군,0,10만원 미만
  남자,  30대,  서울,단순관광,  10월,친구/연인,경기도,고양시,0,10만원 미만
  남자,  20대,  서울,단순관광,  11월,친구/연인,강원도,강릉시,1,30만원 이상
